"Competitor","rank","Team","Grand.Slam.Pts","Overall.PTS","Adult.World.Champ.","M1.World.Champ.","M2.World.Champ.","M3.World.Champ.","M4.World.Champ.","M5.World.Champ.","M6.World.Champ.","M7.World.Champ.","Grand.Slam.Open.Class.PTS","Overall.Open.Class.PTS","Overall.PTS..without.Open.Class.","division","gender","belt","weight","place","winnerGym"
"
Marcela Menisch Mello",7,"Brazuka JJ",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"
Marcella Alvarenga Bastos",2,"Double Five",72,190,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"
Marcello de Paula Gomiero",13,"Barbosa Jiu-Jitsu",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"
Marcelo Araujo Da Silva",5,"Team Domingos LV",0,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"
Marcelo Bertolacini",2,"Higashi Jiu Jitsu Canada",170,170,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"
Marcelo C. DePaula",4,"Gracie Humaita",0,111,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"
Marcelo dos Santos Motta",8,"Prime Jiu-Jitsu Center",10,107,"No","No","No","No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"
Marcelo Figueiredo Gonçalves",6,"Gracie Barra BJJ",12,57,"No","No","No","No","No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"
Marcelo França Mafra",3,"CheckMat",39,21,"No","No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"
Marcelo Garcia Contini",33,"Ryan Gracie Team",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"
Marcelo Garcia Contini",6,"Ryan Gracie Team",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA
"
Marcelo Herz Antunes",4,"Rilion Gracie Jiu-Jitsu Academy",75,100,"No","No","No","No","No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"
Marcelo Lopes Barros Filho",11,"Alliance International",0,96,"No","No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"
Marcelo Mello Alfaya",19,"Mario Sperry Jiu-Jitsu",0,13,"No","No","No","No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"
Marcelo Oliveira",19,"Brasa CTA",0,0,"No","No","No","No","No","No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"
Marcelo Pache Saldanha Ferreira",1,"Carlson Gracie Team",378,450,"No","No","No","No","No","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"
Marcelo R. Capociama Martins",4,"CheckMat",33,82,"No","No","No","No","No","No","No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"
Marcelo Rodrigues Fernandes",4,"Rilion Gracie Jiu-Jitsu Academy",8,17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"
Marcelo Santos Azevedo",6,"Gracie Barra",39,143,"No","No","No","No","No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"
Marceu Coutinho Moreira Peixoto",20,"Constrictor Team",0,3,"No","No","No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"
Marci Leeanne Zavala",3,"Atos Jiu-Jitsu",0,0,"No","No","No","No","No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"
Marcia Yamada Palomba",1,"Carlson Gracie Team",233,270,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"
Marcio Livio Andrade Abraçado",35,"Carlson Gracie Team",0,0,"No","No","No","No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"
Marcio Luis M. Ferreira Filho",1,"R1NG BJJ",108,411,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"
Marcio Rodrigues da Silva",5,"Luciano Pinto Jiu-Jitsu",12,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"
Marcius Aurelio Martins Feijo",22,"Arlans Siqueira Jiu-Jitsu",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"
Marco Antonio Aguilera",21,"Double Five",0,8,"No","No","No","No","No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"
Marco Antonio Ayulo",5,"Carlson Gracie Team",0,49,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"
Marco Antonio F Pardo",12,"Casa Chimeyo Mexico",0,13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"
Marco Antonio Pacheco Jr",37,"Gracie Humaita",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"
Marco Aurelio Buchaim Regos",3,"Barbosa Jiu-Jitsu",80,80,"No","No","No","No","No","No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"
Marco Aurelio Buchaim Regos",5,"Barbosa Jiu-Jitsu",53,53,"No","No","No","No","No","No",NA,NA,31,31,NA,NA,NA,NA,NA,NA,NA
"
Marco Aurélio Ress",1,"Gracie Barra",297,405,"No","No","No","No","No","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"
Marco Lustro",3,"Milanimal",12,120,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"
Marco Martinez",4,"Carlson Gracie Team",44,503,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"
Marco Paulo Mavroleon Vieira de Vasconcelos",5,"Double Five",93,439,"No","No","No","No","No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"
Marco Piero Crispini",15,"Gracie Barcelona",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"
Marco Silvio Posillico",33,"Relson Gracie",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"
Marcos Alejandro Torregrosa",5,"Yemaso Brazilian Jiu-Jitsu",28,523,"No","No","No","No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"
Marcos Andre Garcia Junior",36,"Gracie Barra BJJ",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"
Marcos Augusto O. Rodrigues Frois",19,"RMNU Team",0,9,"No","No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"
Marcos Bispo de Lima Santos",34,"Atos JJ International",0,1,"No","No","No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"
Marcos Franco",17,"Atos Jiu-Jitsu",0,4,"No","No","No","No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"
Marcos Gonzalez Rubio Curi de Castro",6,"Alliance",12,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"
Marcos Teixeira Tome Jr.",6,"Behring Jiu-Jitsu USA",12,84,"No","No","No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"
Marcos Vinicius Braga de Andrade",13,"Gracie Barra",0,60,"No","No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"
Marcos Vinicius da Silva Cunha",48,"Kronos BJJ",0,0,"No","No","No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"
Marcos Yukiahara",41,"Gracie Barra BJJ",0,0,"No","No","No","No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"
Marcus A Larrieu",14,"Carlson Gracie Team",0,16,"No","No","No","No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"
Marcus Anthony Watkins",8,"GF Team",0,22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"
Marcus F. Whitney",10,"Renzo Gracie Nashville",0,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"
Marcus James Mataya",5,"Cascao Jiu-Jitsu",9,159,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"
Marcus Owen Dempsey",22,"CheckMat International",0,8,"No","No","No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"
Marcus Russell Dawson",13,"Carlson Gracie Team",0,18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"
Marcus Stephen Sowder",13,"Cascao Jiu-Jitsu",0,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"
Marcus Stewart",5,"Team Jucão",0,67,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"
Marcus Termaine Brown",18,"R1NG BJJ",0,27,"No","No","No","No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"
Marcus V. C. Antelante",4,"Ares BJJ",115,135,"No","No","No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"
Marcus Vinicius Barros Norat",1,"Gracie Humaita",288,459,"No","No","No","No","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"
Marcus Vinícius de Souza Bello",1,"GF Team",292,385,"No","No","No","No","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"
Marcus Vinicius Gabriel Oliveira",4,"Gracie Barra",72,310,"No","No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"
Marcus Vinicius Gabriel Oliveira",5,"Gracie Barra",72,279,"No","No",NA,NA,NA,NA,NA,NA,0,31,NA,NA,NA,NA,NA,NA,NA
"
Marcus Vinicius Silva Cacella",22,"Djago",0,0,"No","No","No","No","No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"
Marek Radzislaw Stanislawski",3,"CheckMat International",6,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"
Margaret Elizabeth Foltz",4,"Nova União",21,21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"
Margaret Pleiades Natina",10,"American Jiu-Jitsu Syndicate",0,27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"
Margaret Rose Grindatti",4,"Fight Sports",110,126,"No","No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"
Margherita Montes",1,"Cicero Costha Internacional",180,153,"No","No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"
Maria Charisma Evans",6,"Zenith BJJ",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"
Maria De La Paz Montaño Ibañez",24,"Renzo Gracie Mexico",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"
Maria Emma  Martinez",4,"GF Team",33,33,"No","No","No","No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"
Maria Estella Rios",4,"Brazil 021 School of Jiu-Jitsu",52,52,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"
Maria Fernanda Cardozo",11,"Alliance International",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"
Maria Gaudalupe Lopez",1,"Aviv Jiu-Jitsu",132,141,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"
Maria Gretel Glicelina Tomita",3,"Grappling Unlimited",7,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"
Maria Guzman",18,"Cascao Jiu-Jitsu",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"
Maria Isabel Carbajal",14,"Rodrigo Pinheiro BJJ",0,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"
Maria Jesus Madruga",23,"Guerrilla Jiu Jitsu",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"
Maria Malyjasiak",2,"Abmar Barbosa Association",609,789,"No","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"
Maria Pia Valenzuela Derpsch",3,"Kimura BJJ USA",12,21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"
Maria Robles Mcbride",6,"TRUJITSU",0,144,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"
Maria Sol Lorenzo",4,"JP - BJJ - Elizondo",0,162,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"
Maria Ysabel P. Le Blanc",4,"Carlson Gracie Team",0,18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"
Maria Yvonne Connors",15,"Flux MMA",0,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"
Mariam Makki",12,"Kiko France BJJ",0,13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"
Mariana Azevedo",1,"Gracie Barra",189,191,"No","No","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"
Mariana Magalhães",1,"Otávio de Almeida",140,127,"No","No","No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"
Marianela Griguela",1,"Gracie Barra",108,129,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"
Mariangel D. French",1,"Renato Tavares Association",55,115,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"
Marianna Jurkiewicz",19,"Academia Gorila",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"
Marie Ann Choi",8,"One Jiu-Jitsu USA",0,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"
Marie Elizabeth Ellensohn",4,"Fighteria Academy",0,87,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"
Marie Elizabeth Ellensohn",5,"Fighteria Academy",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,54,39,NA,NA,NA,NA,NA,NA
"
Marie L Wilson",4,"Stealth BJJ",0,108,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"
Marie Sue Makowski",16,"Caveirinha Jiu-Jitsu Family USA",0,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"
Marilyn Cruz Pulido",11,"Lansang Brazilian Jiu-Jitsu",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"
Marilyn Matsumura Cruz",3,"Baret Submissions USA",0,18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"
Marilyn Matsumura Cruz",7,"Baret Submissions USA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,36,NA,NA,NA,NA,NA,NA
"
Marina Bocciarelli",1,"Tetris",108,144,"No","No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"
Marina Kaoli Badzinski",11,"Martins & Wingo Martial Arts",0,27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"
Mario Alonso Gaxiola",22,"Lotus Club USA",0,7,"No","No","No","No","No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"
Mario Andres Larrea",36,"Alliance International",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"
Mario Aurelio V. Leon",27,"Dojo Leo Iturralde",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"
Mario Bowers",5,"R1NG BJJ",12,22,"No","No","No","No","No","No","No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"
Mario Eichler",23,"Gracie Barra BJJ",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"
Mário Francisco Sardinha Giovanni",23,"Alliance Jiu-Jitsu",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"
Mario Isabella",5,"Gracie Barra",28,25,"No","No","No","No","No","No","No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"
Mario L. Castillo",13,"Carlson Gracie Team",0,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"
Mario Lopez Jr",6,"Gracie Barra",0,36,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"
Mario Louis Jaramillo",15,"Gracie Barra",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"
Mario Mercado",5,"Renzo Gracie Academy",0,108,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"
Mario Mercado",8,"Renzo Gracie Academy",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,81,54,NA,NA,NA,NA,NA,NA
"
Mario Sanchez",3,"R1NG BJJ",8,75,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"
Mario Sergio Yokoyama",30,"MyBJJ Team",0,1,"No","No","No","No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"
Mario T. Millsap",12,"TAC Team BJJ",0,31,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"
Marion Elizabeth Reneau-Perez",1,"Unique Logic Jiu-Jitsu HQ",472,634,"No","No","No","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"
Marion Elizabeth Reneau-Perez",1,"Unique Logic Jiu-Jitsu HQ",189,297,"No","No","No","Yes",NA,NA,NA,NA,283,337,NA,NA,NA,NA,NA,NA,NA
"
Maris Darlene Jones",4,"GF Team",0,27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"
Marisa Ann Kickbusch",3,"SAS Team",12,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"
Marisa Celeste Mercier",9,"Unified Jiu Jitsu",0,27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"
Marisa Christine Ramirez",2,"Carlson Gracie Team",99,139,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"
Marissa Elena Martinez",11,"Gracie Barra",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"
Marit Tyssedal Gabrielsen",3,"Frontline Academy",8,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"
Maritza Flores",2,"Phenom Brazilian Jiu-Jitsu",24,24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"
Maritza Guerrero-Fernandez",1,"Alliance",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"
Mariz Brown",3,"American Jiu-Jitsu Syndicate",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"
Mark A. Millare",4,"Hart Jiu-Jitsu",36,63,"No","No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"
Mark Alan Commean",21,"Gracie Humaita",0,9,"No","No","No","No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"
Mark Allen Chappell",26,"Gracie Barra",0,10,"No","No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"
Mark Allen Gearhart",5,"Ares BJJ",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"
Mark Allen Palmer",8,"Alliance",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"
Mark Allen Peterson",15,"Brazil Academy USA",0,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"
Mark Allen Thomas Jr.",26,"Excellence School of Jiu-Jitsu USA",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"
Mark Andeer",14,"Valko BJJ Academy",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"
Mark Andrew Short",5,"Gracie Humaita",12,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"
Mark Bryan Huls",5,"McVicker's Brazilian Jiu Jitsu",12,12,"No","No","No","No","No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"
Mark Christopher Hamm",6,"Lovato Jiu-Jitsu",0,72,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"
Mark David D C Rollamas",7,"Crazy 88",0,57,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"
Mark David Hunter",8,"Rilion Gracie Jiu-Jitsu Academy",0,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"
Mark Douglas Rogers",13,"Rodrigo Vaghi BJJ",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"
Mark E Hurshman",5,"Renato Tavares Association",0,30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"
Mark Frank Mireles",11,"Jean Jacques Machado BJJ",0,0,"No","No","No","No","No","No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"
Mark Harold McLaughlin",8,"Gracie Barra",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"
Mark Innes",43,"Marangoni BJJ International",0,0,"No","No","No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"
Mark J. Vives",4,"TAC Team BJJ",115,938,"No","No","No","No","No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"
Mark Jerome Allenson",3,"Prodigy Martial Arts",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"
Mark Joseph Stephens",7,"Guerrilla Jiu Jitsu",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"
Mark L Wilson Jr",12,"Lotus Club USA",0,30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"
Mark Lobwein",33,"Legacy",0,0,"No","No","No","No","No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"
Mark Lowe",40,"Six Blades Jiu-Jitsu",0,0,"No","No","No","No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"
Mark Luebking",1,"CheckMat",108,111,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"
Mark Masaru Kozuki",8,"Art of Jiu Jitsu",0,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"
Mark Messay Ellis",35,"Flux MMA",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"
Mark Peter Badham",36,"British Army BJJ",0,0,"No","No","No","No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"
Mark R-C Burrage",20,"Rodrigo Pinheiro BJJ",0,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"
Mark Richard Mitchell",23,"One Jiu-Jitsu USA",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"
Mark Sasser",14,"R1NG BJJ",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"
Mark Shawn Smith",18,"Caveirinha Jiu-Jitsu Family USA",0,0,"No","No","No","No","No","No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"
Mark Vasquez Lim",20,"Alliance",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"
Marko Antero Nieminen",32,"Team Helsinki",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"
Marlo Raul Garcia",35,"Milestone Martial Arts",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"
Marlon Colorado",21,"Rocian Gracie Jr. New York",0,0,"No","No","No","No","No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"
Marlon J Branson",32,"Foster Brazilian Jiu-Jitsu",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"
Marné Ann Chiccarelli",3,"CheckMat",0,103,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"
Marques Lee Williams",16,"Brasa CTA",0,35,"No","No","No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"
Marshall Allan Beck",27,"Gracie Barra BJJ",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
