"Competitor","rank","Team","Grand.Slam.Pts","Overall.PTS","Adult.World.Champ.","M1.World.Champ.","M2.World.Champ.","M3.World.Champ.","M4.World.Champ.","M5.World.Champ.","M6.World.Champ.","M7.World.Champ.","Grand.Slam.Open.Class.PTS","Overall.Open.Class.PTS","Overall.PTS..without.Open.Class.","division","gender","belt","weight","place","winnerGym"
"
Alain Bourguetou",4,"Gilson Farias Team",0,66,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"
Alain Orozco",2,"American Top Team",47,98,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"
Alan Drew Cornfield",5,"Mike Moses' Competition Team",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"
Alan Howcroft",63,"Mario Sukata International",0,0,"No","No","No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"
Alan Jesus Reynel Pereyra",4,"One Jiu-Jitsu USA",0,108,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"
Alan John Taylor",16,"Gracie Barra",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"
Alan Laina JR",33,"GHBJJ",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"
Alan Peter Aulson Jr",6,"Julio Binda Brazilian Jiu Jitsu",0,27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"
Alan Robert Marques",41,"Heroes Martial Arts",0,0,"No","No","No","No","No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"
Albert Alexander Avedikian",10,"Rebel Jiu-Jitsu",0,16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"
Albert Allen Hughes",37,"Fight Sports",0,1,"No","No","No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"
Albert J Oglum",3,"Alliance",0,40,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"
Albert J Oglum",9,"Alliance",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,13,27,NA,NA,NA,NA,NA,NA
"
Albert Paul Nikolao",27,"Sharkside Jiu-Jitsu",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"
Albert Pound  Lamb",2,"Team Shawn Hammonds",147,147,"No","No","No","No","No","No","No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"
Alberto Jesus Montes Teodori",9,"CheckMat International",0,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"
Alberto Lottermann Junior",13,"Atos Jiu-Jitsu",0,18,"No","No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"
Alberto P. D. dos Santos",6,"Schlosser BJJ",0,241,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"
Alberto Ramos de Araujo Oliveira",9,"GF Team",0,126,"No","No","No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"
Albino de Oliveira Mendes",30,"Kronos BJJ",0,0,"No","No","No","No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"
Aldo Antonio De La Garza",22,"Double Five",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"
Aldo Gomez",29,"Fabio Santos BJJ",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"
Aleides  Gomes",12,"Brazil 021 Boston",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"
Alejandra Cervantez",4,"Gracie Barra",12,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"
Alejandra Gomez",3,"Alliance International",24,26,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"
Alejandro Castillo Reyes",47,"Daniri Jiu-Jitsu",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"
Alejandro Colin",3,"Alliance International",21,31,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"
Alejandro Hernandez Torres",4,"Gracie Humaita",0,18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"
Alejandro Juan Ortiz",13,"Carlson Gracie",0,16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"
Alejandro Mesa Tamy",27,"Dojo Leo Iturralde",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"
Alejandro Perez Cruz",9,"Jiu-Jitsu For Life Team",0,24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"
Alejandro Quiroz",15,"Alliance",0,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"
Alejandro Rey Flores Jr.",18,"Atos Jiu-Jitsu",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"
Aleksandr Donald Jones",18,"TAC Team Jiu-Jitsu",0,16,"No","No","No","No","No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
